Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW21,OUT018,1531.2821
NCH29,OUT046,1605.0209
FDU58,OUT013,2982.3198
FDY27,OUT017,2741.182
FDV56,OUT035,1682.304
FDT59,OUT046,3616.588
FDB23,OUT046,3573.7292
FDR49,OUT045,769.98846
FDB03,OUT010,559.7568
FDN39,OUT045,2757.535
FDX02,OUT027,5515.7593
FDQ16,OUT027,2549.7126
FDU35,OUT018,1429.6798
NCT29,OUT013,2064.8967
FDZ27,OUT046,758.6113
FDN57,OUT017,2079.3186
FDA03,OUT018,2155.391
FDZ36,OUT045,2912.1685
NCU05,OUT013,1228.255
FDT39,OUT018,2218.8503
FDK60,OUT017,1514.8685
FDZ25,OUT017,2788.9463
FDG12,OUT046,1993.0734
DRB01,OUT019,520.63727
NCC43,OUT027,5905.5938
FDX13,OUT019,560.109
FDM22,OUT049,832.5711
FDJ03,OUT027,1286.8738
FDU14,OUT018,3464.5747
FDB33,OUT010,469.5515
FDP27,OUT046,2988.861
FDO38,OUT010,224.52995
FDE28,OUT027,5988.74
FDO27,OUT035,1546.6459
DRL23,OUT027,2608.1333
FDS28,OUT046,888.1983
FDX24,OUT013,1452.129
FDZ02,OUT035,1484.7802
FDL46,OUT045,1807.3856
FDS60,OUT027,4488.689
NCO06,OUT017,579.02386
FDO16,OUT035,1467.5103
FDC60,OUT049,1467.8926
FDA48,OUT018,2958.627
FDZ36,OUT027,4569.0996
FDK27,OUT045,2035.0878
FDW23,OUT018,557.1236
FDM14,OUT018,1467.4462
FDM14,OUT013,1662.4371
FDW60,OUT018,2675.6846
FDE21,OUT013,1993.4081
NCM42,OUT035,1656.8533
FDY59,OUT010,205.03786
DRI49,OUT049,1265.8889
FDT28,OUT019,389.08398
FDQ22,OUT018,521.0114
FDR60,OUT049,1283.2262
FDC50,OUT019,260.82867
FDV24,OUT013,2282.9937
DRF48,OUT010,533.4332
FDQ47,OUT046,652.1461
DRN36,OUT049,1538.3411
NCY06,OUT035,2030.9758
FDE52,OUT035,1438.2866
NCB54,OUT045,1998.9277
NCF31,OUT035,2388.846
FDJ08,OUT027,4972.359
NCC07,OUT017,1634.4265
NCD19,OUT027,1720.7122
FDL46,OUT049,1974.1034
FDM20,OUT045,3702.3855
NCI06,OUT010,465.88763
DRM11,OUT035,3845.1177
NCH07,OUT018,2384.963
FDS23,OUT013,2107.1433
FDO49,OUT018,660.8846
FDS35,OUT049,1019.7917
DRK39,OUT045,1295.6044
DRI39,OUT049,892.4335
FDV04,OUT017,2503.05
NCN14,OUT035,3126.2996
FDH08,OUT013,3828.2036
FDS20,OUT046,3141.8823
FDV40,OUT049,1178.5964
FDZ48,OUT010,282.14825
FDS24,OUT027,2313.6587
FDK44,OUT049,2879.7534
FDS48,OUT045,2397.0261
FDK26,OUT010,566.1913
FDD23,OUT045,2959.6296
NCH54,OUT017,2591.6313
NCP14,OUT010,246.71037
FDM60,OUT010,88.44514
FDV24,OUT017,2282.086
FDH08,OUT018,3236.2847
FDS12,OUT027,3145.3738
FDR39,OUT027,4637.1504
FDP12,OUT027,1017.498
DRF60,OUT027,6039.0493
FDC09,OUT035,1650.3416
FDF50,OUT018,2776.0542
FDG28,OUT035,3794.8743
NCE19,OUT017,917.9909
NCM53,OUT010,275.2892
NCN18,OUT049,1754.7234
FDF32,OUT035,3099.425
FDF11,OUT013,4088.6208
DRI59,OUT049,3682.031
NCG54,OUT035,2648.115
FDM44,OUT046,1617.7948
FDT57,OUT018,3246.97
FDV24,OUT046,2317.3076
FDI50,OUT019,541.15594
FDS09,OUT035,777.7157
NCC31,OUT027,3736.0344
FDQ07,OUT019,599.7899
FDC22,OUT017,3042.7532
FDZ56,OUT046,2704.5596
FDZ40,OUT019,199.30234
FDS46,OUT027,2997.0725
DRD24,OUT045,2055.7288
FDV45,OUT017,3025.5774
FDL26,OUT045,2392.762
FDA56,OUT018,1856.1864
FDN27,OUT046,1807.3856
FDM20,OUT049,3991.7966
FDO16,OUT017,1436.4122
FDL03,OUT035,3099.1973
FDE58,OUT046,1841.8615
FDI02,OUT027,2978.5789
NCC55,OUT019,107.49586
FDR03,OUT018,3059.9849
FDB14,OUT017,1451.6802
FDR45,OUT013,4048.7026
NCN07,OUT017,2040.9835
FDM51,OUT019,260.361
FDT52,OUT027,6060.907
FDL26,OUT046,2362.1458
NCZ42,OUT046,3657.243
DRI47,OUT019,419.95154
FDW40,OUT013,2076.4321
FDN34,OUT046,2848.671
FDS01,OUT035,2900.9626
NCG55,OUT045,1875.4006
FDC11,OUT035,1337.5482
FDX35,OUT018,2987.5686
NCB06,OUT046,2526.4788
FDR09,OUT019,639.2432
FDC53,OUT017,1538.9282
FDY45,OUT013,4119.959
FDA22,OUT010,433.02533
FDE02,OUT035,1490.0916
FDW21,OUT045,1741.3606
FDV34,OUT046,1098.4952
FDS59,OUT049,1651.6283
NCW17,OUT017,2123.0784
NCK54,OUT046,1892.2837
FDG17,OUT019,633.4951
FDG35,OUT017,2825.43
FDD08,OUT010,97.221756
NCO07,OUT017,3573.258
FDJ10,OUT010,335.94464
FDW36,OUT017,1619.6976
FDW21,OUT010,344.10565
FDY19,OUT017,1861.1051
DRE03,OUT013,717.6376
NCC55,OUT049,703.9231
FDH52,OUT010,205.10373
FDO09,OUT017,3825.787
FDU43,OUT045,3674.9016
FDX09,OUT010,457.48273
FDH40,OUT019,249.06529
FDW58,OUT017,1692.4066
FDC47,OUT017,3661.217
NCR41,OUT035,1555.598
DRG49,OUT035,3886.4458
FDC52,OUT027,3649.7017
FDY13,OUT046,1094.0099
FDY35,OUT013,735.53564
FDI35,OUT017,3207.8296
NCU18,OUT049,2076.4321
FDY33,OUT018,2384.963
FDC15,OUT027,3734.1914
FDU01,OUT049,3068.2695
NCU42,OUT046,2728.672
NCV29,OUT018,2601.7217
NCY30,OUT017,3229.7961
FDQ46,OUT049,1732.684
FDG58,OUT027,3656.0093
FDK33,OUT017,3429.5452
NCD07,OUT045,1851.9098
NCX29,OUT027,3606.5269
NCT42,OUT013,2304.816
DRN59,OUT035,765.0601
FDI44,OUT035,1256.4701
FDA45,OUT049,2567.2568
FDP31,OUT045,967.36475
FDY01,OUT046,1866.9424
FDT09,OUT018,1779.5005
DRH03,OUT027,2451.2273
FDA36,OUT018,2819.889
NCF31,OUT017,2388.846
FDG14,OUT049,2369.995
FDG28,OUT027,6000.2817
FDU14,OUT049,4028.375
FDY47,OUT019,312.03815
FDI56,OUT049,1398.783
DRD01,OUT013,853.4316
FDM22,OUT046,886.92004
FDH33,OUT013,697.87
DRZ24,OUT013,1869.8813
NCQ38,OUT046,1612.7981
FDO16,OUT027,2125.3105
FDU07,OUT027,3579.0662
NCB07,OUT013,2983.9795
FDU48,OUT045,2005.825
NCM43,OUT045,2611.9878
FDR31,OUT010,361.32236
DRK49,OUT018,554.024
NCI30,OUT010,548.7835
DRD60,OUT017,2770.9211
NCG19,OUT046,3531.2102
FDH12,OUT035,1619.6976
FDM32,OUT035,1521.7433
FDM27,OUT035,2431.3174
NCU53,OUT027,3858.6418
NCQ18,OUT046,1604.566
FDS10,OUT013,2736.2722
FDB33,OUT027,3976.331
FDI12,OUT013,1359.2521
NCW42,OUT013,3445.461
NCC06,OUT018,1764.2522
FDW02,OUT017,2074.1565
NCD43,OUT017,1662.4873
FDM57,OUT018,1130.3441
FDA58,OUT017,3644.3276
FDK56,OUT046,2949.119
FDP52,OUT045,3660.0276
FDW20,OUT018,1724.6053
FDS52,OUT049,1620.8705
NCT29,OUT018,1733.6499
NCL54,OUT013,2841.3027
FDC05,OUT045,2944.5962
FDF34,OUT035,3135.2239
FDP03,OUT027,3006.5952
FDD32,OUT010,199.70473
FDZ10,OUT045,2057.1755
FDZ40,OUT035,911.788
FDD51,OUT018,576.63104
NCY30,OUT019,441.59143
FDP58,OUT017,3283.7334
FDV49,OUT017,4013.8423
FDY24,OUT019,186.88011
NCO55,OUT017,1628.1559
FDR13,OUT017,1910.8217
FDS51,OUT017,933.19904
FDP26,OUT045,1584.7494
NCB54,OUT027,3234.46
FDF32,OUT017,3130.0244
FDN31,OUT018,2767.9365
DRM48,OUT017,620.9919
FDN20,OUT049,2670.4944
DRL01,OUT046,3602.6462
FDV56,OUT049,1662.4371
DRH13,OUT027,2597.0623
FDA03,OUT017,2358.969
FDF47,OUT027,5210.975
FDX32,OUT046,2373.7146
FDX57,OUT049,1538.3411
NCA30,OUT045,2921.1855
FDO49,OUT013,760.4166
FDL04,OUT019,276.125
DRM48,OUT035,653.4207
FDR16,OUT013,3276.641
NCC19,OUT018,2803.2085
NCE42,OUT045,3595.4685
FDY24,OUT017,923.93506
FDH19,OUT049,2774.723
FDJ46,OUT013,2841.3027
FDN45,OUT010,548.91974
FDY08,OUT035,2037.4734
FDZ37,OUT035,1391.2115
NCT30,OUT045,763.7856
DRY23,OUT018,587.75494
NCZ30,OUT018,1815.1364
FDC44,OUT018,1645.8776
FDB45,OUT035,1663.7432
FDY04,OUT013,2576.8474
FDM27,OUT046,2719.0876
FDZ43,OUT017,3794.8743
FDT39,OUT019,345.2993
NCC06,OUT019,305.34143
FDL15,OUT027,3646.871
FDL57,OUT017,3919.212
FDU08,OUT046,1518.8922
FDK40,OUT017,4047.0725
FDQ12,OUT010,579.9769
FDS48,OUT017,2419.3972
FDP09,OUT045,3287.3865
FDW21,OUT049,1730.1967
FDY25,OUT035,2806.7278
DRE13,OUT017,1366.5359
FDV43,OUT019,98.22786
FDD22,OUT045,1714.7125
FDM46,OUT019,228.19942
NCO30,OUT010,519.63324
FDM25,OUT046,2729.1797
NCN41,OUT049,2064.8967
FDU24,OUT045,1476.5669
FDZ50,OUT046,2959.6296
FDP45,OUT013,4158.0312
NCM54,OUT045,2039.614
FDW10,OUT019,361.1651
FDP20,OUT017,1993.0903
FDK32,OUT046,2373.7146
FDN52,OUT049,1373.6646
FDM58,OUT045,1778.9888
FDZ46,OUT027,2893.0188
NCA18,OUT018,1643.3035
FDD35,OUT046,2034.7173
NCK31,OUT035,785.0308
FDI40,OUT027,2609.02
FDT50,OUT019,273.26205
NCT06,OUT046,2568.0413
FDT31,OUT035,3067.2056
FDT45,OUT049,840.4604
FDT13,OUT045,3019.5493
FDO50,OUT045,1401.468
NCU18,OUT010,331.63416
NCR54,OUT049,3078.386
NCO18,OUT018,2601.7217
FDU09,OUT045,888.1983
FDT13,OUT018,2792.6687
FDE09,OUT046,1783.0809
NCK53,OUT019,265.21545
FDG45,OUT049,3471.8213
DRH15,OUT035,728.07837
FDO21,OUT019,602.8285
FDD14,OUT027,4710.9463
FDC09,OUT046,1608.3127
FDH45,OUT027,1048.2976
FDV32,OUT046,1027.3799
FDG12,OUT035,1990.9197
FDS32,OUT013,2064.8633
NCL55,OUT018,3429.965
DRE01,OUT035,3712.38
DRE15,OUT049,1312.494
NCL42,OUT045,3690.8167
FDP31,OUT013,889.98
FDN33,OUT018,1335.3962
FDZ59,OUT046,2494.0444
FDE45,OUT010,401.79993
FDJ07,OUT013,1890.1721
FDQ45,OUT018,2822.769
FDM33,OUT027,5262.4062
FDO15,OUT010,216.24751
FDM46,OUT013,1441.3203
FDR03,OUT045,3435.7908
FDY49,OUT018,2608.6172
FDQ60,OUT045,1828.5822
FDW10,OUT049,2726.4067
FDO51,OUT049,721.33075
FDJ40,OUT018,1396.2233
FDS20,OUT018,2951.3855
FDU45,OUT013,1785.2656
FDV02,OUT035,2734.7002
FDN09,OUT046,3680.973
NCM55,OUT027,5001.252
FDN23,OUT018,2170.5403
FDY31,OUT010,396.8174
FDW03,OUT010,319.5219
FDD14,OUT046,2768.4468
FDV23,OUT017,2054.7456
DRI03,OUT045,2762.9097
FDN13,OUT035,1628.1559
FDF45,OUT027,1729.8752
FDU46,OUT035,1412.8417
FDB57,OUT049,3649.1982
FDV12,OUT049,1691.1006
FDQ58,OUT013,2355.5823
NCA18,OUT017,1875.4998
FDH52,OUT049,906.2765
FDM24,OUT018,2075.054
NCP43,OUT027,4514.587
NCO18,OUT019,441.61957
FDM32,OUT017,1479.2059
NCL07,OUT017,608.8463
FDK03,OUT013,4082.4138
FDP59,OUT017,1593.68
FDQ24,OUT049,4138.6714
FDQ16,OUT018,1408.4736
FDU44,OUT013,2538.9197
FDH28,OUT010,80.514854
FDV28,OUT019,93.342125
FDM22,OUT045,888.1983
FDR56,OUT046,3010.0383
FDV39,OUT049,3157.385
FDU37,OUT019,245.42023
FDQ11,OUT010,640.966
FDX02,OUT045,3584.971
NCS42,OUT018,1249.4989
FDY57,OUT027,2494.836
FDB21,OUT049,3952.133
FDE28,OUT017,3623.8823
FDQ55,OUT017,1966.2747
FDA48,OUT049,3632.4236
FDZ19,OUT045,2645.7273
NCC43,OUT045,3696.755
NCV18,OUT046,1373.0175
NCA42,OUT018,2325.2334
FDY45,OUT046,3753.4812
NCC30,OUT045,2764.9868
FDM57,OUT013,1336.0306
FDL09,OUT010,398.5348
FDB09,OUT027,3225.702
FDT44,OUT035,1898.9906
NCT06,OUT027,3849.161
FDX26,OUT049,3150.172
FDK32,OUT013,2378.4534
DRA12,OUT046,2047.2704
FDO46,OUT010,574.64215
FDE52,OUT013,1336.0306
NCH42,OUT045,3640.4722
FDV08,OUT035,746.5174
FDB47,OUT018,3041.9004
FDC28,OUT010,254.90443
FDD22,OUT046,1851.9098
FDS07,OUT027,2947.694
DRI13,OUT045,3268.0747
FDG32,OUT018,3158.3782
FDU14,OUT017,3943.0005
FDD28,OUT019,216.92422
NCP41,OUT017,1682.304
FDS08,OUT049,2776.7495
FDX47,OUT045,2503.137
FDC53,OUT019,248.5839
FDQ19,OUT035,3916.894
FDL14,OUT045,2330.5525
FDM33,OUT019,588.42206
FDA51,OUT045,1844.569
FDZ27,OUT018,716.79755
FDT04,OUT046,674.01306
DRC13,OUT049,2049.1274
FDR16,OUT027,4835.337
FDQ03,OUT027,6110.475
FDE38,OUT035,2644.948
DRH23,OUT027,1703.3208
FDT11,OUT019,588.06757
FDD09,OUT035,2947.9631
FDR40,OUT045,1312.2378
FDX07,OUT017,3233.8347
FDR07,OUT035,1498.9535
FDA51,OUT017,1868.1589
FDT59,OUT019,590.01245
FDF20,OUT017,3113.0378
FDR13,OUT045,1868.7928
FDY26,OUT049,3319.9822
FDW04,OUT017,2070.8604
FDK52,OUT017,3631.0247
FDN60,OUT049,2577.3704
FDM09,OUT019,414.14767
FDP46,OUT049,1350.2318
FDB50,OUT019,258.9704
NCQ29,OUT049,4016.6082
FDP16,OUT027,5900.467
FDX33,OUT018,2357.4595
FDP07,OUT010,503.3052
FDN22,OUT046,3733.1113
FDF39,OUT049,4084.3252
FDS21,OUT017,973.909
NCM42,OUT013,1646.6666
FDK50,OUT019,403.647
DRF13,OUT027,3615.8882
FDH35,OUT018,2385.4548
FDP60,OUT018,1408.4736
DRJ49,OUT027,3227.6458
NCT42,OUT019,362.57584
FDE38,OUT049,2663.8457
FDI04,OUT049,3012.9438
NCH54,OUT045,2526.4788
FDT56,OUT049,885.5155
DRD15,OUT018,3114.6914
FDV58,OUT013,2824.231
FDP21,OUT049,3106.5938
FDH05,OUT013,3658.5723
FDR10,OUT027,4005.0986
NCP06,OUT045,2146.3394
FDF33,OUT049,1667.8706
DRK37,OUT013,3048.0432
DRH49,OUT045,1292.1006
FDT58,OUT013,2737.0742
FDD41,OUT018,1384.8212
FDP40,OUT018,1504.8119
FDM51,OUT027,2564.5288
FDO45,OUT010,220.67545
FDW33,OUT010,255.36455
FDY24,OUT045,969.6645
FDB10,OUT010,545.30774
FDM40,OUT035,2037.4734
NCI06,OUT017,2770.9211
FDW12,OUT019,358.26907
FDX48,OUT027,3704.5083
NCW05,OUT027,2597.8147
FDX27,OUT017,1485.5349
DRM37,OUT045,2944.5962
FDA38,OUT045,3747.0398
FDR36,OUT046,696.26874
FDZ45,OUT046,2955.107
FDG05,OUT017,2541.6106
FDK28,OUT013,3997.691
FDV47,OUT045,1348.8008
FDN21,OUT045,2476.5747
FDP20,OUT027,3142.7756
FDI35,OUT045,3141.8823
DRY23,OUT013,715.1697
FDA56,OUT017,2089.5608
FDB09,OUT013,2064.8967
NCO26,OUT027,2976.3472
FDQ49,OUT018,2313.395
FDI52,OUT027,3157.842
FDZ44,OUT027,2944.1016
FDZ09,OUT018,2430.9377
FDY03,OUT049,1922.463
NCG42,OUT017,2025.0685
DRI13,OUT027,5450.2104
FDQ32,OUT013,2075.1077
FDW16,OUT035,1425.0579
FDU27,OUT046,746.73846
FDR28,OUT010,455.74747
FDQ49,OUT010,358.47678
FDS37,OUT046,1857.7979
FDW26,OUT018,3001.3496
FDX12,OUT018,3317.6624
NCP06,OUT013,2121.9026
FDW45,OUT010,349.83472
NCN30,OUT049,1529.3639
FDN24,OUT049,838.774
NCL41,OUT027,985.25244
FDR02,OUT019,317.26398
FDD09,OUT010,518.65784
FDS33,OUT010,227.47957
FDU22,OUT045,1965.9335
FDI53,OUT013,2568.3892
DRH01,OUT049,2879.7534
FDX32,OUT013,2076.4321
NCP30,OUT018,544.1809
FDB60,OUT045,3020.549
FDB14,OUT049,1457.2166
NCP02,OUT035,911.788
FDJ10,OUT017,2090.2712
FDG34,OUT046,1741.8671
NCB18,OUT017,1356.4755
FDM16,OUT049,1065.8779
FDW25,OUT018,1267.7935
FDB35,OUT010,242.73633
DRN11,OUT013,2059.0586
FDF41,OUT019,490.49127
FDH16,OUT045,1348.3326
NCQ50,OUT018,2959.764
DRH23,OUT018,781.1303
DRJ37,OUT013,2369.995
DRJ24,OUT027,4972.359
FDY16,OUT035,3031.7485
FDQ27,OUT045,1723.6464
FDZ33,OUT045,2365.2563
FDF29,OUT045,2063.8682
FDA08,OUT049,2606.8398
FDG31,OUT046,1018.9157
FDE34,OUT019,517.485
NCR30,OUT027,1895.2507
FDV33,OUT035,4022.4885
DRZ24,OUT018,1782.3615
NCL54,OUT035,2708.5422
FDR12,OUT049,2879.7534
NCC54,OUT046,3554.7927
DRN59,OUT013,778.4351
FDX50,OUT019,289.39838
FDV31,OUT027,4829.1987
NCA29,OUT027,4630.4053
FDW60,OUT049,2851.8245
FDX08,OUT017,3360.6653
DRD49,OUT013,3891.8828
FDD33,OUT046,3477.864
FDW35,OUT013,733.1948
FDJ36,OUT017,1628.1559
FDV51,OUT035,2770.5068
FDW36,OUT046,1596.1078
FDH35,OUT046,2556.4724
NCS30,OUT027,3034.7117
FDN49,OUT017,660.3171
FDL08,OUT018,3321.8325
FDI09,OUT013,3800.6113
FDP19,OUT018,1837.6678
FDU21,OUT010,61.166466
NCP41,OUT045,1612.7981
FDY10,OUT013,1884.1093
FDP12,OUT018,519.41974
NCN26,OUT049,1895.9089
FDK44,OUT013,2841.3027
FDC28,OUT049,1610.0616
FDJ41,OUT027,6126.2085
NCT29,OUT035,2043.9523
NCH42,OUT019,547.8985
FDU60,OUT018,2488.9753
FDS02,OUT045,3010.0383
FDC51,OUT046,2035.0878
FDU03,OUT013,3182.1472
FDX39,OUT045,3417.1292
NCY05,OUT010,73.10435
NCL06,OUT027,6138.6606
FDD32,OUT035,1295.0546
NCN41,OUT045,2017.8344
NCX53,OUT049,2094.6992
FDU57,OUT019,305.86884
FDQ23,OUT046,1631.455
FDQ52,OUT045,3810.224
FDC14,OUT045,686.91785
FDY09,OUT035,2849.3735
FDQ28,OUT045,2404.3308
FDV25,OUT046,3391.5327
FDJ07,OUT035,1931.7888
DRB25,OUT049,1651.6283
FDK52,OUT019,540.42236
FDY52,OUT027,1614.0924
FDB28,OUT046,2932.9763
FDT36,OUT035,658.4362
FDV25,OUT017,3597.6963
NCN07,OUT027,3273.0623
FDC57,OUT017,3080.7583
FDQ03,OUT018,3092.8142
FDU23,OUT017,2887.536
NCX41,OUT035,3477.3877
NCD06,OUT035,776.2785
FDW08,OUT045,1596.1078
NCU29,OUT017,2431.7566
NCE06,OUT013,2472.9905
FDV52,OUT010,228.79922
FDB02,OUT017,2830.934
NCR18,OUT045,690.52686
FDK16,OUT049,1507.6139
NCQ29,OUT010,657.21075
FDZ01,OUT019,250.21375
FDW27,OUT035,2401.4634
FDD17,OUT018,3293.505
FDW39,OUT013,2792.075
DRH59,OUT045,1014.43036
FDS52,OUT013,1620.8705
FDU40,OUT027,4876.897
NCF54,OUT013,2768.5518
FDH46,OUT045,1584.7494
NCP14,OUT049,1610.0616
FDH50,OUT049,3157.385
DRF15,OUT010,339.8008
FDV27,OUT027,2301.4294
NCJ06,OUT049,1963.5416
FDN02,OUT018,2996.1719
FDQ51,OUT049,782.4715
FDQ07,OUT017,3631.906
FDS45,OUT049,1709.9058
NCJ06,OUT045,1981.6089
FDD36,OUT035,1966.2747
FDY25,OUT045,3177.689
FDU52,OUT046,2330.5525
DRK47,OUT017,3797.9482
NCL30,OUT017,2030.9758
FDN22,OUT035,3897.8408
NCF30,OUT027,3175.32
FDK03,OUT035,3919.212
FDT45,OUT017,919.6773
NCC54,OUT027,5824.059
FDP08,OUT018,2825.351
FDU44,OUT046,2568.0413
DRG39,OUT035,839.3187
FDU32,OUT049,2023.31
FDY27,OUT049,2908.364
NCP54,OUT013,2064.8967
NCZ41,OUT049,2004.9941
DRL49,OUT013,2076.4321
FDI05,OUT018,1127.9208
FDY56,OUT045,3613.888
DRC13,OUT013,2049.1274
NCV29,OUT017,2947.9631
FDR24,OUT049,1442.1631
FDZ34,OUT018,2714.1714
FDP37,OUT035,2030.9758
FDX08,OUT027,4886.7905
FDS57,OUT045,2055.7288
NCG18,OUT049,1709.4373
FDK25,OUT018,2558.015
FDH53,OUT049,1183.248
DRI59,OUT018,3116.1025
FDA52,OUT046,2684.8013
FDT20,OUT010,97.221756
FDE36,OUT019,420.23196
FDI24,OUT017,2752.9207
FDB28,OUT018,2715.0217
FDV11,OUT017,2708.5422
FDP01,OUT046,2146.3394
FDD34,OUT027,3994.7954
FDJ50,OUT027,1412.0815
FDZ44,OUT013,1869.8813
DRO59,OUT035,1213.9451
DRB48,OUT045,666.3528
FDR21,OUT018,2593.2039
NCE42,OUT010,612.6026
FDO23,OUT046,1432.4366
NCE30,OUT018,3042.6968
FDQ22,OUT035,659.65405
FDY01,OUT045,1866.9424
FDS08,OUT017,2714.0505
FDG28,OUT018,3321.8325
FDQ51,OUT018,626.58325
FDB05,OUT017,3749.2688
FDO56,OUT049,1877.2222
FDE02,OUT018,1301.8112
FDN45,OUT017,3646.1833
FDS09,OUT013,764.807
NCA54,OUT018,2603.4404
FDP09,OUT010,565.36633
FDC53,OUT045,1592.9814
NCM55,OUT017,3077.4067
FDL09,OUT018,2550.5042
FDA11,OUT019,211.88708
FDA50,OUT045,1477.8601
FDC23,OUT017,2900.9626
FDE22,OUT049,2568.912
FDD23,OUT046,2959.6296
NCA29,OUT049,2879.7534
FDK38,OUT046,2314.5657
DRC13,OUT046,2000.2314
NCP43,OUT049,2807.0024
FDX28,OUT049,1674.2974
FDF08,OUT049,1442.1631
FDZ33,OUT046,2365.2563
FDD10,OUT049,2613.4453
FDO58,OUT017,2537.381
FDI50,OUT017,3706.3767
FDO58,OUT045,2502.2222
FDX08,OUT013,2904.0142
NCK17,OUT010,98.49487
FDF39,OUT035,4045.8047
FDU45,OUT010,265.27234
NCJ18,OUT018,1645.8776
DRC27,OUT019,518.1478
DRC25,OUT035,1384.1472
FDU59,OUT035,2464.381
FDU28,OUT035,3154.129
NCP30,OUT046,648.5359
FDB39,OUT018,781.46857
FDE41,OUT013,1336.0306
DRH11,OUT010,244.5536
FDA58,OUT045,3594.0457
FDU50,OUT046,1853.1917
FDM34,OUT013,2026.5282
FDM44,OUT027,2604.219
FDR39,OUT045,2871.4028
FDM25,OUT045,2729.1797
FDQ49,OUT049,2343.251
DRH25,OUT018,682.0495
FDM09,OUT027,4139.934
FDL44,OUT019,484.83624
NCR42,OUT018,483.36566
DRL59,OUT046,819.06696
FDX43,OUT013,2651.5356
DRK47,OUT010,594.2868
FDU48,OUT018,1805.4263
FDY12,OUT045,760.32886
NCN43,OUT018,1786.5149
NCM55,OUT018,2767.9365
FDQ21,OUT027,3233.9285
FDX13,OUT035,3982.7427
NCK30,OUT027,6028.4946
FDG20,OUT049,2879.7534
DRG27,OUT017,676.4565
FDY14,OUT018,3396.4426
FDP59,OUT035,1593.68
FDU60,OUT017,2944.1697
NCC18,OUT019,372.28143
DRJ39,OUT017,3320.536
FDS07,OUT049,1922.463
FDM08,OUT027,5443.653
FDP51,OUT045,2001.7274
FDU16,OUT035,1325.3776
FDH12,OUT013,1621.42
DRE48,OUT010,522.07904
NCL42,OUT027,5822.421
FDR21,OUT045,2685.3313
NCW29,OUT035,2101.4119
FDO11,OUT013,4227.9243
NCM31,OUT049,2030.2025
FDV35,OUT019,304.55307
FDF58,OUT017,977.83673
NCE43,OUT049,2775.525
FDA02,OUT035,2397.3042
DRL37,OUT010,88.00368
FDR24,OUT018,1255.8882
FDW59,OUT049,1342.3793
FDS22,OUT049,770.1747
FDW24,OUT017,764.9568
FDU24,OUT035,1534.0115
FDA21,OUT027,4984.5435
FDH58,OUT027,2993.2275
FDW36,OUT018,1397.4199
FDI45,OUT027,4665.688
FDU01,OUT018,2827.6353
FDF35,OUT027,2602.2642
FDU43,OUT019,525.9484
